timestamp,final_value
2026-01-11 21:13:49.551541+00:00,52.9
2026-01-11 20:58:49.848206+00:00,53.3
2026-01-11 20:43:49.304624+00:00,53.7
2026-01-11 20:28:49.292221+00:00,53.8
2026-01-11 20:13:49.658200+00:00,54.4
2026-01-11 19:58:49.644215+00:00,53.1
2026-01-11 19:43:49.387714+00:00,53.8
2026-01-11 19:28:49.351423+00:00,53.3
2026-01-11 19:13:49.731532+00:00,53.1
2026-01-11 18:58:49.735638+00:00,52.7
2026-01-11 18:43:50.031342+00:00,53.1
2026-01-11 18:28:49.459745+00:00,52.7
2026-01-11 18:13:49.476647+00:00,52.2
2026-01-11 17:58:50.130950+00:00,52.4
2026-01-11 17:43:49.867687+00:00,52.5
2026-01-11 17:28:49.586305+00:00,51.8
2026-01-11 17:13:49.569964+00:00,52.0
2026-01-11 16:58:49.932358+00:00,51.0
2026-01-11 16:43:49.927104+00:00,50.1
2026-01-11 16:28:49.829124+00:00,49.6
2026-01-11 16:13:49.819495+00:00,49.2
2026-01-11 15:58:49.811587+00:00,49.2
2026-01-11 15:43:49.811708+00:00,49.7
2026-01-11 15:28:49.563351+00:00,49.8
2026-01-11 15:13:49.553304+00:00,49.7
2026-01-11 14:58:49.911270+00:00,50.0
2026-01-11 14:43:50.003803+00:00,49.7
2026-01-11 14:28:50.060295+00:00,49.4
2026-01-11 14:13:49.699861+00:00,48.7
2026-01-11 13:58:49.639639+00:00,47.9
2026-01-11 13:43:49.999360+00:00,46.1
2026-01-11 13:28:49.997618+00:00,48.1
2026-01-11 13:13:50.001459+00:00,48.5
2026-01-11 12:58:49.744159+00:00,48.1
2026-01-11 12:43:49.755478+00:00,47.7
2026-01-11 12:28:50.106264+00:00,47.8
2026-01-11 12:13:50.214958+00:00,49.0
2026-01-11 11:58:49.842647+00:00,49.0
2026-01-11 11:43:49.839956+00:00,48.7
2026-01-11 11:28:50.205622+00:00,49.9
2026-01-11 11:13:50.494641+00:00,49.6
2026-01-11 10:58:50.854046+00:00,49.1
2026-01-11 10:43:49.931951+00:00,49.0
2026-01-11 10:28:50.298097+00:00,47.9
2026-01-11 10:13:50.302053+00:00,46.9
2026-01-11 09:58:50.292345+00:00,47.5
2026-01-11 09:43:50.037409+00:00,47.2
2026-01-11 09:28:50.032018+00:00,47.7
2026-01-11 09:13:50.399483+00:00,48.0
2026-01-11 08:58:50.237632+00:00,46.9
2026-01-11 08:43:50.235615+00:00,47.5
2026-01-11 08:28:50.139628+00:00,47.7
2026-01-11 08:13:50.341616+00:00,48.2
2026-01-11 07:58:50.330614+00:00,47.9
2026-01-11 07:43:50.230299+00:00,47.7
2026-01-11 07:28:50.227336+00:00,47.2
2026-01-11 07:13:50.225248+00:00,47.7
2026-01-11 06:58:50.434649+00:00,47.4
2026-01-11 06:43:50.330486+00:00,47.4
